contig_1	NZ_JPRQ01000053.1	88.971	807	56	18	3819	4611	7059	6272	0.0	966
contig_1	NZ_JPRQ01000053.1	88.861	808	56	19	9497	10290	7059	6272	0.0	963
contig_1	NZ_QGKP01000106.1	84.540	511	57	14	3807	4304	502	1	1.10e-134	486
contig_1	NZ_QGKP01000106.1	84.375	512	57	15	9485	9983	502	1	5.13e-133	481
contig_1	NZ_JABVMA010000031.1	82.961	493	62	19	8893	9375	4971	5451	2.44e-116	425
contig_1	NZ_VMJI01000398.1	83.936	249	34	6	9128	9375	3	246	1.59e-58	233
contig_1	NZ_JABVMA010000027.1	89.510	143	10	3	9839	9981	1201	1064	2.71e-41	176
contig_1	NZ_JABVMA010000027.1	89.510	143	10	3	4160	4302	1201	1064	2.71e-41	176
contig_1	NZ_JABVMA010000034.1	81.057	227	29	8	3807	4021	4060	3836	4.54e-39	169
contig_1	NZ_JABVMA010000034.1	80.702	228	29	9	9485	9700	4060	3836	2.11e-37	163
contig_1	NZ_JABVMA010000168.1	100.000	67	0	0	4112	4178	638	704	9.97e-26	124
contig_1	NZ_JABVMA010000168.1	100.000	67	0	0	9791	9857	638	704	9.97e-26	124
contig_1	NZ_JABVMA010000205.1	96.721	61	2	0	4112	4172	658	718	4.67e-19	102
contig_1	NZ_JABVMA010000205.1	96.721	61	2	0	9791	9851	658	718	4.67e-19	102
contig_1	NZ_JABVMA010000064.1	91.111	45	3	1	3807	3851	2179	2136	2.85e-06	60.2
contig_1	NZ_QYUU01000043.1	100.000	28	0	0	3959	3986	443	470	4.77e-04	52.8
contig_1	NZ_QYUU01000043.1	100.000	28	0	0	9638	9665	443	470	4.77e-04	52.8
contig_10	NZ_JABDRY010000597.1	90.397	302	28	1	938	1239	301	1	4.52e-108	396
contig_11	NZ_JPRQ01000053.1	85.012	814	78	27	851	1646	7064	6277	0.0	787
contig_11	NZ_JPRQ01000053.1	79.255	188	33	4	284	467	192	7	1.67e-26	126
contig_11	NZ_QGKP01000106.1	89.181	647	42	20	710	1340	635	1	0.0	782
contig_11	NZ_JABVMA010000031.1	87.838	592	57	15	296	878	4971	5556	0.0	680
contig_11	NZ_JABVMA010000031.1	74.010	1035	222	46	1732	2747	702	1708	4.18e-102	377
